Country,Year,Rate,Count
Austria,1995,1.0,82
Austria,1996,1.2,99
Austria,1997,0.8,66
Austria,1998,1.0,77
Austria,1999,0.8,60
Austria,2000,1.0,82
Austria,2001,0.9,70
Austria,2002,0.8,65
Austria,2003,0.6,50
Austria,2004,0.7,59
Austria,2005,0.7,54
Austria,2006,0.7,61
Austria,2007,0.5,45
Austria,2008,0.5,45
Austria,2009,0.5,43
Austria,2010,0.0,0
Belgium,1995,1.4,142
Belgium,1996,1.2,120
Belgium,1997,1.4,145
Belgium,1998,0.0,0
Belgium,1999,0.0,0
Belgium,2000,2.1,215
Belgium,2001,2.8,282
Belgium,2002,3.1,318
Belgium,2003,2.2,228
Belgium,2004,2.6,265
Belgium,2005,2.1,221
Belgium,2006,2.1,222
Belgium,2007,2.0,212
Belgium,2008,1.9,198
Belgium,2009,1.7,185
Belgium,2010,0.0,0
Czech Republic,1995,1.8,185
Czech Republic,1996,1.6,160
Czech Republic,1997,1.5,159
Czech Republic,1998,1.6,169
Czech Republic,1999,1.5,151
Czech Republic,2000,1.6,160
Czech Republic,2001,1.2,126
Czech Republic,2002,1.3,130
Czech Republic,2003,1.3,129
Czech Republic,2004,1.2,117
Czech Republic,2005,0.9,90
Czech Republic,2006,1.0,102
Czech Republic,2007,1.1,109
Czech Republic,2008,0.8,79
Czech Republic,2009,0.9,89
Czech Republic,2010,0.0,0
Denmark,1995,1.1,60
Denmark,1996,1.3,69
Denmark,1997,1.7,88
Denmark,1998,0.9,49
Denmark,1999,1.0,52
Denmark,2000,1.1,58
Denmark,2001,1.0,52
Denmark,2002,1.0,56
Denmark,2003,1.2,65
Denmark,2004,0.8,43
Denmark,2005,1.0,53
Denmark,2006,0.5,29
Denmark,2007,0.7,39
Denmark,2008,1.0,54
Denmark,2009,0.9,47
Denmark,2010,0.0,0
Finland,1995,2.9,146
Finland,1996,3.0,153
Finland,1997,2.7,139
Finland,1998,2.2,113
Finland,1999,2.8,143
Finland,2000,2.9,148
Finland,2001,3.0,156
Finland,2002,2.5,132
Finland,2003,2.0,103
Finland,2004,2.8,148
Finland,2005,2.2,117
Finland,2006,2.3,120
Finland,2007,2.4,128
Finland,2008,2.5,132
Finland,2009,2.3,121
Finland,2010,0.0,0
France,1995,1.1,613
France,1996,1.1,610
France,1997,0.9,548
France,1998,0.8,445
France,1999,0.7,429
France,2000,0.9,520
France,2001,0.9,505
France,2002,0.8,478
France,2003,0.8,457
France,2004,0.7,430
France,2005,0.7,433
France,2006,0.7,430
France,2007,0.6,364
France,2008,0.7,428
France,2009,0.0,0
France,2010,0.0,0
Germany,1995,1.7,1372
Germany,1996,1.5,1249
Germany,1997,1.4,1178
Germany,1998,1.2,975
Germany,1999,1.2,1005
Germany,2000,1.2,1015
Germany,2001,1.1,925
Germany,2002,1.2,955
Germany,2003,1.0,859
Germany,2004,1.1,868
Germany,2005,1.1,869
Germany,2006,1.0,808
Germany,2007,0.9,757
Germany,2008,0.9,722
Germany,2009,0.9,706
Germany,2010,0.8,690
Greece,1995,1.2,128
Greece,1996,1.5,157
Greece,1997,1.5,159
Greece,1998,1.3,136
Greece,1999,1.1,118
Greece,2000,1.0,108
Greece,2001,0.9,100
Greece,2002,0.7,72
Greece,2003,1.0,114
Greece,2004,0.8,94
Greece,2005,1.0,107
Greece,2006,0.7,83
Greece,2007,1.0,116
Greece,2008,1.2,137
Greece,2009,1.4,153
Greece,2010,0.0,0
Hungary,1995,2.9,296
Hungary,1996,2.6,271
Hungary,1997,2.8,289
Hungary,1998,2.8,289
Hungary,1999,2.5,253
Hungary,2000,2.0,205
Hungary,2001,2.5,254
Hungary,2002,2.0,203
Hungary,2003,2.3,236
Hungary,2004,2.1,209
Hungary,2005,1.6,164
Hungary,2006,1.7,174
Hungary,2007,1.5,154
Hungary,2008,1.5,147
Hungary,2009,1.4,139
